,BusNum,ID,TSSaveAll,TSSaveRotorAngle,TSSaveSpeed,TSSaveMWMech,TSSaveMW,TSSaveMvar,TSSaveVpu,TSSaveEfd,TSSaveExciterState,TSSaveMachineState,TSSaveGovernorState,TSSaveStabilizerState,TSSaveIfd,TSSaveVstab,TSSaveRotorAngleNoShift,TSSaveMWAccel,TSSaveVOEL,TSSaveVUEL,TSSavePrefCtrlState,TSSavePlantCtrlState,TSSaveAeroState,TSSaveAGCState,TSSaveIpu,TSSaveStatus,TSSaveRelayState,TSSaveVSCL,TSSaveVSCLOEL,TSSaveVSCLUEL,TSSaveUELState,TSSaveOELState,TSSaveSCLState,TSSavePowerAngle,TSSavePauxCtrlState,TSSaveMWGovernorRef,TSSaveVperHz
0,2,1,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
1,2,2,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
2,2,3,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
3,2,4,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
4,23,1,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
5,23,10,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
6,23,2,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
7,23,3,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
8,23,4,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
9,23,5,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
10,23,6,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
11,23,7,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
12,23,8,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
13,23,9,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
14,26,1,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
15,26,2,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
16,27,1,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
17,27,2,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
18,28,1,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
19,28,2,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
20,33,1,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
21,34,1,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
22,34,2,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
23,34,3,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
24,34,4,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
25,34,5,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
26,34,6,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
27,35,1,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
28,35,2,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
29,35,3,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
30,35,4,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
31,35,5,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
32,35,6,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
33,35,7,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
34,35,8,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
35,36,1,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
36,36,2,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
37,36,3,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
38,36,4,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
39,37,1,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
40,37,2,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
41,37,3,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
42,37,4,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
43,37,5,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
44,37,6,YES,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO ,NO,NO ,NO 
